Course Name,Address,Access,Year Built,Rating,Number of Reviews,Pct Recommend
Columbine Country Club,"17 Fairway Ln, Littleton, Colorado 80123, Arapahoe County",Private,1955,,,0%
Columbine Country Club - Par 3 Golf Course,"17 Fairway Ln, Littleton, Colorado 80123, Arapahoe County",Resort,1999,,,0%
Deer Creek Golf Club at Meadow Ranch,"8135 Shaffer Pkwy, Littleton, Colorado 80127, Douglas County",Semi-Private,2000,4.2,239 out of 289 reviews,87.40%
Eighteen Hole at South Suburban Golf Course,"7900 S Colorado Blvd, Littleton, Colorado 80122, Arapahoe County",Public/Municipal,1973,4.1,95 out of 106 reviews,96.00%
Littleton Golf and Tennis Club,"5800 S Federal Blvd, Littleton, Colorado 80123, Arapahoe County",Public,1986,4.2,146 out of 162 reviews,93.30%
Lone Tree Golf Club & Hotel,"9808 S Sunningdale Blvd, Littleton, Colorado 80124, Douglas County",Resort,1986,4.2,195 out of 223 reviews,84.10%
Meadows Golf Club,"7007 Meadows Golf Club Dr, Littleton, Colorado 80127, Jefferson County",Public/Municipal,1984,4,108 out of 128 reviews,88.30%
Nine Hole at South Suburban Golf Course,"7900 S Colorado Blvd, Littleton, Colorado 80122, Arapahoe County",Public/Municipal,1973,4.1,95 out of 106 reviews,96.00%
Raccoon Creek Golf Course,"7301 W Bowles Ave, Littleton, Colorado 80123, Jefferson County",Public,1984,4,89 out of 107 reviews,83.40%
Southglenn Country Club,"1489 E Easter Ave, Littleton, Colorado 80122, Arapahoe County",Private,1966,4.1,23 out of 26 reviews,81.80%
The Club at Ravenna,"11118 Caretaker Rd, Littleton, Colorado 80125, Douglas County",Private,2007,5,1 out of 1 reviews,100.00%
Bella Rosa Golf Course,"5830 Bella Rosa Parkway, Longmont, CO 80504, United States",Municipal,2006,3.5,37 out of 48 reviews,77.10%
Fox Hill Country Club,"1400 E. Hwy. 119, Longmont, Colorado 80501, Boulder County",Private,1972,5,1 out of 1 reviews,100.00%
Sunset Golf Course,"1900 Longs Peak Ave, Longmont, Colorado 80501, Boulder County",Public/Municipal,1924,4.5,87 out of 89 reviews,99.50%
Twin Peaks Golf Course,"1200 Cornell Dr, Longmont, Colorado 80503, Boulder County",Public/Municipal,1977,4.2,148 out of 160 reviews,94.80%
Ute Creek Golf Course,"2000 Ute Creek Dr, Longmont, Colorado 80501, Boulder County",Public/Municipal,1997,4.4,232 out of 248 reviews,95.30%
Coal Creek Golf Course,"585 W Dillon Rd, Louisville, Colorado 80027, Boulder County",Public,1990,4.3,29 out of 32 reviews,98.80%
Cattail Creek Golf Course,"2116 W 29th St, Loveland, Colorado 80538, Larimer County",Public/Municipal,1991,4,2 out of 2 reviews,100.00%
Mariana Butte Golf Course,"701 Clubhouse Dr, Loveland, Colorado 80537, Larimer County",Public/Municipal,1992,4.8,6 out of 6 reviews,100.00%
Olde Course at Loveland,"2115 W 29th St, Loveland, Colorado 80538, Larimer County",Public/Municipal,1955,3.8,3 out of 4 reviews,94.40%
Meeker Golf Course,"903 County Rd 13, Meeker, Colorado 81641, Rio Blanco County",Public,1969,,,0%
"Mad Russian Golf & Country Club, The","2100 Country Club Parkway, Milliken, Colorado 80543, Weld County",Public,0,4,1 out of 1 reviews,100.00%
Monte Vista Country Club,"101 Country Club Dr, Monte Vista, Colorado 81144, Rio Grande County",Public/Municipal,1926,5,1 out of 1 reviews,100.00%
Black Canyon Golf Course,"1350 Birch St, Montrose, Colorado 81401, Montrose County",Municipal,1959,4,2 out of 2 reviews,100.00%
Cornerstone Club,"1000 Cornerstone Trail, Montrose, Colorado 81401, Montrose County",Private,2007,5,1 out of 1 reviews,100.00%
The Bridges Golf & Country Club,"2500 Bridge Circle, Montrose, CO 81401, Montrose County",Public,2005,4.1,18 out of 19 reviews,98.30%
The Links at Cobble Creek,"699 Cobble Dr, Montrose, Colorado 81401, Montrose County",Semi-Private,1999,3,1 out of 2 reviews,33.30%
King's Deer Golf Club,"19255 Royal Troon Drive, Monument, CO 80132",Public,1999,3.4,79 out of 88 reviews,95.80%
The Country Club at Woodmoor,"18945 Pebble Beach Way, Monument, Colorado 80132, El Paso County",Semi-Private,1969,4,90 out of 117 reviews,90.60%
Red Rocks Country Club,"16234 W Belleview Ave, Morrison, Colorado 80465, Jefferson County",Private,1976,5,1 out of 1 reviews,100.00%
Lakota Canyon Ranch Golf Club,"1000 Clubhouse Dr, New Castle, CO 81647, Garfield County",Public,2004,4.2,63 out of 70 reviews,88.90%
Haystack Mountain Golf Course,"5877 Niwot Road, Niwot, CO 80503",Public,1966,3.6,22 out of 25 reviews,73.60%
Lake Valley Golf Club,"4400 Lake Valley Dr, Niwot, Colorado 80503, Boulder County",Private,1965,4.7,8 out of 8 reviews,100.00%
Meadows/Pinon at Pagosa Springs Golf Club,"1 Pines Club Pl, Pagosa Springs, Colorado 81147, Archuleta County",Resort,1985,3.6,14 out of 17 reviews,82.40%
Pinon/Ponderosa at Pagosa Springs Golf Club,"1 Pines Club Pl, Pagosa Springs, Colorado 81147, Archuleta County",Resort,1980,3.6,14 out of 17 reviews,82.40%
Ponderosa/Meadows at Pagosa Springs Golf Club,"1 Pines Club Pl, Pagosa Springs, Colorado 81147, Archuleta County",Resort,1980,3.6,14 out of 17 reviews,82.40%
Black Bear Golf Club,"11400 Canterberry Pkwy, Parker, Colorado 80138, Douglas County",Private,1996,,,0%
Colorado Golf Club,"8000 Preservation Trail, Parker, Colorado 80134, Douglas County",Private,2007,5,2 out of 2 reviews,100.00%
Colorado Golf Club - 9-hole Course,"8000 Preservation Trail, Parker, Colorado 80134, Douglas County",Private,2006,5,2 out of 2 reviews,100.00%
Lake/Valley at Pinery Country Club,"6900 E Pinery Pkwy, Parker, Colorado 80134, Douglas County",Private,1975,,,0%
Mountain/Lake at Pinery Country Club,"6900 E Pinery Pkwy, Parker, Colorado 80134, Douglas County",Private,1975,,,0%
The Club at Pradera,"5225 Raintree Dr, Parker, Colorado 80134, Douglas County",Private,2004,4,1 out of 1 reviews,100.00%
Valley/Mountain at Pinery Country Club,"6900 East Pinery Parkway, Parker, Colorado 80134, Douglas County",Private,1975,,,0%
Antler Creek Golf Course,"9650 Antler Creek Drive, Peyton, Colorado 80831",Public,2004,2.8,116 out of 168 reviews,52.80%
Elmwood Golf Course,"3900 Thatcher Ave, Pueblo, Colorado 81005, Pueblo County",Public/Municipal,1932,,,0%
Elmwood Golf Course - 9-hole Course,"3900 Thatcher Ave, Pueblo, Colorado 81005, Pueblo County",Public/Municipal,1932,,,0%
Pueblo Country Club,"3200 8th Ave, Pueblo, Colorado 81008, Pueblo County",Private,1903,,,0%
Walking Stick Golf Course,"4301 Walking Stick Blvd, Pueblo, Colorado 81001, Pueblo County",Public/Municipal,1989,3.1,2 out of 5 reviews,14.30%
Desert Hawk at Pueblo West,"251 S McClulloch Blvd, Pueblo West, Colorado 81007, Pueblo County",Public,1972,4,2 out of 3 reviews,66.70%
Cedar Ridge Golf Course,"502 County Rd 108, Rangely, Colorado 81648, Rio Blanco County",Public/Municipal,1985,,,0%
Golf Club at Fox Acres,"3350 Fox Acres Dr W, Red Feather Lakes, Colorado 80545, Larimer County",Semi-Private,1983,4,3 out of 3 reviews,100.00%
Mt. Meadows Golf Course,"1 Mile West Dowdy Lake Road, Red Feather Lakes, Colorado 80545, United States",Public,1953,,,0%
Divide Ranch & Club,"151 Divide Ranch Circle, Ridgway, Colorado 81432, Ouray County",Semi-Private,1993,3.8,8 out of 10 reviews,80.00%
Rifle Creek Golf Course,"3004 St Hwy 325, Rifle, Colorado 81650, Garfield County",Semi-Private/Resort,1960,4.2,56 out of 60 reviews,80.70%
Rocky Ford Golf Course,"91 Play Park Hill Dr, Rocky Ford, Colorado 81067, Otero County",Public,1920,,,0%
Salida Golf Club,"404 Grant St, Salida, Colorado 81201, Chaffee County",Public/Municipal,1926,3,1 out of 1 reviews,100.00%
The Sanctuary,"7549 Daniels Park Rd, Sedalia, Colorado 80135, Douglas County",Private,1997,5,1 out of 1 reviews,100.00%
The Raven Golf Club at Three Peaks,"2929 Golden Eagle Rd, Silverthorne, Colorado 80498, Summit County",Semi-Private,2000,3.4,176 out of 219 reviews,65.00%
Snowmass Club,"239 Snowmass Club Circle, Snowmass Village, Colorado 81611, Pitkin County",Resort,1980,,,0%
Rio Grande Club,"285 Rio Grande Club Trl, South Fork, CO 81154, United States",Resort,2001,4.7,2 out of 2 reviews,100.00%
Springfield Golf Course,"24800 Country Road, Springfield, Colorado 81073, Baca County",Municipal,1921,,,0%
Catamount Ranch and Club,"33400 Catamount Dr, Steamboat Springs, Colorado 80487, Routt County",Private,2000,,,0%
Haymaker,"34855 US Hwy 40 E, Steamboat Springs, Colorado 80487, Routt County",Public/Municipal,1997,4.1,16 out of 18 reviews,88.90%
Rollingstone Ranch Golf Club,"1230 Steamboat Blvd, Steamboat Springs, Colorado 80487, Routt County",Resort,1974,4.2,4 out of 4 reviews,100.00%
Steamboat Golf Club,"26815 W US Highway 40, Steamboat Springs, Colorado 80477, Routt County",Semi-Private,1964,4.3,3 out of 3 reviews,100.00%
Northeastern 18,"17408 Hwy 14, Sterling, Colorado 80751, Logan County",Public,1956,5,2 out of 2 reviews,100.00%
Riverview Golf Course,"13064 County Rd 370, Sterling, Colorado 80751, Logan County",Semi-Private,1980,,,0%
Stratton Golf Club,"First & Wyoming, Stratton, Colorado 80836, Kit Carson County",Public,1988,,,0%
Meadow Golf Course at Pole Creek Golf Club,"6827 County Road 51, Tabernash, Colorado 80478, Grand County",Public,1983,4.7,117 out of 119 reviews,99.80%
Ranch Golf Course at Pole Creek Golf Club,"6827 County Road 51, Tabernash, Colorado 80478, Grand County",Public,1984,4.7,117 out of 119 reviews,99.80%
Ridge Golf Course at Pole Creek Golf Club,"6827 County Road 51, Tabernash, Colorado 80478, Grand County",Public,1999,4.7,117 out of 119 reviews,99.80%
Telluride Golf Club,"565 Mountain Village Blvd, Telluride, Colorado 81435, San Miguel County",Resort,1992,4.4,5 out of 5 reviews,100.00%
Thorncreek Golf Club,"13555 N Washington St, Thornton, Colorado 80241, Adams County",Public/Municipal,1992,3.8,140 out of 178 reviews,70.60%
Todd Creek Golf Club,"8455 Heritage Dr, Thornton, Colorado 80602, Adams County",Semi-Private,2007,4.3,384 out of 430 reviews,92.30%
Trinidad Golf Course,"1417 Nolan Dr, Trinidad, Colorado 81082, Las Animas County",Public/Municipal,1910,4.4,5 out of 5 reviews,100.00%
Walsenburg Golf Course,"1399 Co Rd 502, Walsenburg, Colorado 81089, Huerfano County",Public/Municipal,1966,,,0%
St. Andrews at Westcliffe,"800 Copper Gulch Rd, Westcliffe, Colorado 81252, Custer County",Public,1988,,,0%
Greg Mastriona Golf Courses at Hyland Hills - Blue Course,"9650 N Sheridan Blvd, Westminster, Colorado 80031, Adams County",Public,1965,4.1,75 out of 81 reviews,90.80%
Greg Mastriona Golf Courses at Hyland Hills - Gold Course,"9650 N Sheridan Blvd, Westminster, Colorado 80031, Adams County",Public,1965,3.9,156 out of 183 reviews,86.30%
Greg Mastriona Golf Courses at Hyland Hills - North Par-3 Course,"9650 N Sheridan Blvd, Westminster, Colorado 80031, Adams County",Public,1985,3.5,1 out of 2 reviews,50.00%
Greg Mastriona Golf Courses at Hyland Hills - South Par-3 Course,"9650 N Sheridan Blvd, Westminster, Colorado 80031, Adams County",Public,1988,3.9,21 out of 26 reviews,76.50%
Legacy Ridge Golf Course at Westminster,"10801 Legacy Ridge Pkwy, Westminster, Colorado 80031, Jefferson County",Public/Municipal,1994,4.4,7 out of 7 reviews,100.00%
The Ranch Country Club,"11887 Tejon St, Westminster, Colorado 80234, Adams County",Private/Resort,1974,,1 out of 1 reviews,100.00%
Walnut Creek Golf Preserve,"10555 Westmoor Drive, Westminster, CO 80021",Municipal,1999,4.2,7 out of 7 reviews,100.00%
Harmony Golf Club,"6432 Grand Tree Blvd, Windsor, Colorado 80547, Larimer County",Private,2007,4.3,2 out of 3 reviews,70.60%
Highland Meadows Golf Course,"6300 Highland Meadows Pkwy, Windsor, Colorado 80528, Larimer County",Public/Community,2004,4.6,5 out of 5 reviews,100.00%
Pelican Falls at Pelican Lakes Golf & Country Club,"1620 Pelican Lakes Point, Windsor, Colorado 80550, Weld County",Semi-Private,2006,3.6,39 out of 45 reviews,83.90%
Pelican Lakes at Pelican Lakes Golf and Country Club,"1620 Pelican Lakes Pt, Windsor, Colorado 80550, Weld County",Semi-Private,1999,3.6,39 out of 45 reviews,83.90%
Eagle Springs Golf Club,"28521 US Hwy 6 & 24, Wolcott, Colorado 81655, Eagle County",Private,1995,,,0%
Red Sky Golf Club - Fazio Course,"376 Red Sky Rd, Wolcott, Colorado 81631, Eagle County",Private,2002,3.6,1 out of 2 reviews,28.60%
Red Sky Golf Club - Norman Course,"376 Red Sky Rd, Wolcott, Colorado 81631, Eagle County",Private,2003,4,1 out of 1 reviews,100.00%
Shining Mountain Golf Club,"100 Shining Mountain Lane, Woodland Park, CO 80863, Teller County",Public,1995,4.1,129 out of 146 reviews,89.40%
Wray Golf Course,"36357 US Highway 385, Wray, Colorado 80758",Semi-Private,1962,,,0%
Indian Hills Golf Course,"5294 County Rd 39, Yuma, Colorado 80759, Yuma County",Public,1970,,,0%
Blue at Golf Club of Avon,"160 Country Club Rd, Avon, Connecticut 06001, Hartford County",Private,1967,,,0%
Blue Fox Run Golf Club - Blue Nine,"65 Nod Rd, Avon, Connecticut 06001, Hartford County",Public,2008,3.4,112 out of 162 reviews,65.20%
Blue Fox Run Golf Club - Red Nine,"65 Nod Rd, Avon, Connecticut 06001, Hartford County",Public,1970,3.4,112 out of 162 reviews,65.20%
Blue Fox Run Golf Club - White Nine,"65 Nod Rd, Avon, Connecticut 06001, Hartford County",Public,1970,3.4,112 out of 162 reviews,65.20%
Farmington Woods Golf Course,"43 Heritage Dr, Avon, Connecticut 06001, Hartford County",Private,1970,4.5,2 out of 2 reviews,100.00%
Red at Golf Club of Avon,"160 Country Club Rd, Avon, Connecticut 06001, Hartford County",Private,1926,,,0%
White at Golf Club of Avon,"160 Country Club Rd, Avon, Connecticut 06001, Hartford County",Private,1929,,,0%
Mohegan Sun Golf Club,"7 Dows Ln, Baltic, Connecticut 06330, New London County",Private,1960,4.4,81 out of 98 reviews,95.10%
Timberlin Golf Club,"330 Southington Road, Berlin, Connecticut 06037, Hartford County",Public/Municipal,1970,4.5,184 out of 190 reviews,96.80%
Woodhaven Country Club,"275 Miller Rd, Bethany, Connecticut 06524, New Haven County",Public,1968,4.5,158 out of 163 reviews,97.10%
Gillette Ridge,"1360 Hall Blvd, Bloomfield, CT 06002, United States",Public,2004,4,247 out of 334 reviews,82.40%
Tumble Brook Country Club - Blue Nine,"376 Simsbury Rd, Bloomfield, Connecticut 06002, Hartford County",Private,1949,3,1 reviews,0%
Tumble Brook Country Club - Green Nine,"376 Simsbury Rd, Bloomfield, Connecticut 06002, Hartford County",Private,1971,3,1 reviews,0%
Tumble Brook Country Club - Red Nine,"376 Simsbury Rd, Bloomfield, Connecticut 06002, Hartford County",Private,1924,3,1 reviews,0%
Wintonbury Hills Golf Course,"206 Terry Plains Road, Bloomfield, Connecticut 06002, Hartford County",Public/Municipal,2005,4.4,120 out of 132 reviews,87.80%
Pine Orchard Yacht & Country Club,"2 Club Pkwy, Branford, Connecticut 06405, New Haven County",Private,1901,,,0%
Chippanee Golf Club,"6 Marsh Rd, Bristol, Connecticut 06010, Hartford County",Private,1923,,,0%
Candlewood Lake Club,"919 Candlewood Lake Rd, Brookfield, Connecticut 06804, Fairfield County",Private,1935,4,1 out of 1 reviews,100.00%
Sunset Hill Golf Club,"13 Sunset Hill Rd, Brookfield, Connecticut 06804, Fairfield County",Public,1936,,,0%
Canaan Country Club,"74 High St, Canaan, Connecticut 06018, Litchfield County",Semi-Private,1931,3.8,2 out of 2 reviews,100.00%
Clinton Country Club,"128 Old Post Rd, Clinton, Connecticut 06413, Middlesex County",Private,1968,,,0%
Chanticlair Golf Club,"288 Old Hebron Rd, Colchester, Connecticut 06415, New London County",Public,1972,3.5,7 out of 8 reviews,88.20%
Skungamaug River Golf Club,"104 Folly Ln, Coventry, Connecticut 06238, Tolland County",Semi-Private,1961,3.9,55 out of 67 reviews,84.30%
Twin Hills Country Club,"199 Bread &Milk St, Coventry, Connecticut 06238, Tolland County",Public,1972,4.2,27 out of 27 reviews,100.00%
TPC River Highlands,"1 Golf Club Rd, Cromwell, Connecticut 06416, Middlesex County",Private,1928,4.6,3 out of 3 reviews,100.00%
Richter Park Golf Course,"100 Aunt Hack Rd, Danbury, Connecticut 06811, Fairfield County",Public,1970,4.1,182 out of 213 reviews,82.30%
Ridgewood Country Club,"119 Franklin St, Danbury, Connecticut 06811, Fairfield County",Private,1921,3,2 reviews,0%
Country Club of Darien,"300 Mansfield Ave, Darien, Connecticut 06820, Fairfield County",Private,1958,5,2 out of 2 reviews,100.00%
Wee Burn Country Club,"410 Hollow Tree Ridge Rd, Darien, Connecticut 06820, Fairfield County",Private,1902,,,0%
Woodway Country Club,"540 Hoyt St, Darien, Connecticut 06820, Fairfield County",Private,1916,,,0%
Hillside Links,"37 Hillside Terrace, Deep River Center, Connecticut 06417, Middlesex County",Public,1994,,,0%
Copper Hill Golf Club,"20 Copper Hill Rd, East Granby, Connecticut 06026, Hartford County",Public,1952,3.4,16 out of 20 reviews,76.40%
Fox Hopyard Golf Club,"1 Hopyard Rd , East Haddam, Connecticut 06423",Public,2001,4.5,148 out of 161 reviews,89.20%
East Hartford Golf Club,"130 Long Hill St, East Hartford, Connecticut 06108, Hartford County",Public,1930,3.6,71 out of 111 reviews,84.90%
Cedar Ridge Golf Course,"34 Drabik Rd, East Lyme, Connecticut 06333, New London County",Public,1964,4.8,3 out of 3 reviews,100.00%
Shorehaven Golf Club,"14 Canfield Ave, East Norwalk, Connecticut 06855, Fairfield County",Private,1924,,,0%
Connecticut Golf Club,"915 Black Rock Tnpk, Easton, Connecticut 06612, Fairfield County",Private,1966,,,0%
Ellington Ridge Country Club,"56 Abbott Rd, Ellington, Connecticut 06029, Tolland County",Private,1959,,,0%
Rolling Meadows Country Club,"76 Sadds Mill Rd, Ellington, Connecticut 06029, Tolland County",Public,1997,5,32 out of 32 reviews,100.00%
Grassmere Country Club,"130 Town Farm Rd, Enfield, Connecticut 06082, Hartford County",Public,1965,4,1 out of 1 reviews,100.00%
Black at D. Fairchild Wheeler Golf Course,"2390 Easton Turnpike, Fairfield, Connecticut 06825, Fairfield County",Public,1934,4,128 out of 148 reviews,89.60%
Brooklawn Country Club,"500 Algonquin Rd, Fairfield, Connecticut 06825, Fairfield County",Private,1885,5,1 out of 1 reviews,100.00%
Carl Dickman Par-3 Golf Course,"70 Old Dam Rd, Fairfield, Connecticut 06824, Fairfield County",Public/Municipal,1968,4,1 out of 1 reviews,100.00%
Country Club of Fairfield,"936 Sasco Hill Rd, Fairfield, Connecticut 06430, Fairfield County",Private,1921,5,2 out of 2 reviews,100.00%
H. Smith Richardson Golf Course,"2425 Morehouse Hwy, Fairfield, Connecticut 06430, Fairfield County",Public/Municipal,1972,1.9,1 out of 2 reviews,28.60%
Patterson Club,"1118 Cross Hwy, Fairfield, Connecticut 06430, Fairfield County",Private,1947,,,0%
Red at D. Fairchild Wheeler Golf Course,"2390 Easton Turnpike, Fairfield, Connecticut 06825, Fairfield County",Public,1934,3.8,75 out of 84 reviews,88.80%
Country Club of Farmington,"806 Farmington Ave, Farmington, Connecticut 06032, Hartford County",Private,1892,,,0%
Green at Tunxis Country Club,"87 Town Farm Rd, Farmington, Connecticut 06032, Hartford County",Public,1994,4.4,92 out of 94 reviews,99.70%
Red at Tunxis Country Club,"87 Town Farm Rd, Farmington, Connecticut 06032, Hartford County",Public,1962,4.4,62 out of 65 reviews,95.30%
Westwoods Golf Club,"14 Westwoods Dr, Farmington, Connecticut 06032, Hartford County",Public,1966,,,0%
White at Tunxis Country Club,"87 Town Farm Rd, Farmington, Connecticut 06032, Hartford County",Public,0,4.1,87 out of 91 reviews,94.30%
Minnechaug Golf Course,"16 Fairway Crossing, Glastonbury, Connecticut 06033, Hartford County",Public,1959,3.9,111 out of 129 reviews,88.40%
Torrington Country Club,"250 Torrington Rd, Goshen, Connecticut 06791, Litchfield County",Private,1929,5,2 out of 2 reviews,100.00%
Burning Tree Country Club,"120 Perkins Road, Greenwich, Connecticut 06830, Fairfield County",Private,1962,,,0%
Fairview Country Club,"1241 King St, Greenwich, Connecticut 06831, Fairfield County",Private,1968,,,0%
Greenwich Country Club,"19 Doubling Rd, Greenwich, Connecticut 06830, Fairfield County",Private/Resort,1892,,,0%
Griffith E. Harris Golf Course,"1323 King Street, Greenwich, Connecticut 06831, Fairfield County",Public/Municipal,1963,3.9,4 out of 4 reviews,100.00%
Milbrook Club,"61 Woodside Dr, Greenwich, Connecticut 06830, Fairfield County",Private,1923,,,0%
Round Hill Club,"33 Round Hill Club Rd, Greenwich, Connecticut 06831, Fairfield County",Private,1924,,,0%
Stanwich Club,"888 N St, Greenwich, Connecticut 06831, Fairfield County",Private,1964,5,1 out of 1 reviews,100.00%
Tamarack Country Club,"55 Locust Rd, Greenwich, Connecticut 06831, Fairfield County",Private,1929,5,1 out of 1 reviews,100.00%
Goose Run Golf Course at Naval Submarine Base,"Bldg 178 Sub Base, Groton, Connecticut 06349, New London County",Military,1951,2,1 reviews,0%
Shennecossett Golf Club,"93 Plant St, Groton, Connecticut 06340, New London County",Public/Municipal,1898,4.1,27 out of 29 reviews,84.80%
Guilford Lakes Golf Course,"200 N Madison Rd, Guilford, Connecticut 06437, New Haven County",Public/Municipal,1928,4.2,22 out of 22 reviews,100.00%
Laurel View Country Club,"310 W Shepard Ave, Hamden, Connecticut 06514, New Haven County",Public,1969,2.8,164 out of 256 reviews,57.10%
New Haven Country Club,"160 Old Hartford Tnpk, Hamden, Connecticut 06517, New Haven County",Private,1898,5,2 out of 2 reviews,100.00%
Sleeping Giant Golf Course,"3931 Whitney Ave, Hamden, Connecticut 06518, New Haven County",Public,1924,3.6,4 out of 5 reviews,72.20%
Fairview Farm Golf Course,"300 Hill Road, Harwinton, CT, 06791",Public,2000,5,1 out of 1 reviews,100.00%
Blackledge Country Club - Anderson's Glen,"180 W St, Hebron, Connecticut 06248, Tolland County",Public,1964,4.3,194 out of 220 reviews,92.00%
Blackledge Country Club - Gilead Highlands,"180 W St, Hebron, Connecticut 06248, Tolland County",Public,2000,4.3,152 out of 162 reviews,99.20%
Tallwood Country Club,"91 N St, Hebron, Connecticut 06248, Tolland County",Public,1970,4.7,7 out of 7 reviews,100.00%
Brownson Country Club,"15 Soundview Ave, Huntington, Connecticut 06484, Fairfield County",Private,1959,,,0%
River Ridge Golf Course,"259 Preston Rd, Jewett City, Connecticut 06351, New London County",Public,1999,4.2,20 out of 24 reviews,89.40%
Shuttle Meadow Country Club,"51 Randeckers Ln, Kensington, Connecticut 06037, Hartford County",Private,1914,5,1 out of 1 reviews,100.00%
Hotchkiss School Golf Course,"Route 112, Lakeville, Connecticut 06039, Litchfield County",Semi-Private,1924,4,1 out of 2 reviews,50.00%
Litchfield Country Club,"256 Old S Rd, Litchfield, Connecticut 06759, Litchfield County",Private,1892,,,0%
Stonybrook Golf Course,"263 Milton Rd, Litchfield, Connecticut 06759, Litchfield County",Public,1955,,,0%
Madison Country Club,"8 W Wharf Rd, Madison, Connecticut 06443, New Haven County",Private,1909,,,0%
Manchester Country Club,"305 S Main St, Manchester, Connecticut 06040, Hartford County",Semi-Private,1917,4.4,56 out of 64 reviews,88.00%
Hunter Golf Club,"688 Westfield Rd, Meriden, Connecticut 06450, New Haven County",Public,1933,4.7,8 out of 8 reviews,100.00%
Highfield Club,"256 White Deer Rock Rd, Middlebury, Connecticut 06762, New Haven County",Private,1953,,,0%
Apple Nine at Lyman Orchards Golf Club,"700 Main Street, Middlefield, Connecticut 06455, Middlesex County",Public,2012,3.8,25 out of 29 reviews,88.50%
Indian Springs Golf Club,"132 Mack Rd, Middlefield, Connecticut 06455, Middlesex County",Public,1964,4.5,104 out of 108 reviews,97.00%
Jones at Lyman Orchards Golf Club,"700 Main Street, Middlefield, Connecticut 06455, Middlesex County",Public,1969,3.7,71 out of 95 reviews,73.40%
Player at Lyman Orchards Golf Club,"700 Main Street, Middlefield, Connecticut 06455, Middlesex County",Public,1994,4.1,119 out of 154 reviews,78.60%
Miner Hills Golf Course,"247 Miner St, Middletown, Connecticut 06457, Middlesex County",Public,1994,3.9,26 out of 35 reviews,95.60%
Great River Golf Club,"130 Coram Ln, Milford, Connecticut 06461, New Haven County",Semi-Private,2001,2.8,4 out of 7 reviews,26.50%
The Orchards Golf Course,"137 Kozlowski Dr, Milford, Connecticut 06460, New Haven County",Public,1997,5,2 out of 2 reviews,100.00%
Whitney Farms Golf Club,"175 Shelton Rd, Monroe, Connecticut 06468, Fairfield County",Public,1982,4.1,220 out of 242 reviews,92.20%
Black Birch Golf Club,"10 Banner Rd, Moodus, Connecticut 06469, Middlesex County",Public/Resort,1945,3.3,97 out of 122 reviews,76.40%
Hop Brook Golf Course,"615 N Church St, Naugatuck, Connecticut 06770, New Haven County",Public/Municipal,1910,3.9,18 out of 21 reviews,79.40%
Stanley Golf Course - Blue/White,"245 Hartford Rd, New Britain, Connecticut 06053, Hartford County",Public/Municipal,1958,4.1,41 out of 45 reviews,93.80%
Stanley Golf Course - Red/Blue,"245 Hartford Rd, New Britain, Connecticut 06053, Hartford County",Public/Municipal,1931,4.1,41 out of 45 reviews,93.80%
Stanley Golf Course - White/Red,"245 Hartford Rd, New Britain, Connecticut 06053, Hartford County",Public/Municipal,1958,4.1,41 out of 45 reviews,93.80%
Country Club of New Canaan,"95 Country Club Rd, New Canaan, Connecticut 06840, Fairfield County",Private,1895,,,0%
Alling Memorial Golf Course,"35 Eastern St, New Haven, Connecticut 06513, New Haven County",Public/Municipal,1930,4,7 out of 7 reviews,100.00%
Yale Golf Course,"200 Conrad Dr, New Haven, Connecticut 06515, New Haven County",Private,1926,4.4,4 out of 5 reviews,85.30%
Candlewood Valley Country Club,"401 Danbury Rd, New Milford, Connecticut 06776, Litchfield County",Public,1955,3.6,3 out of 3 reviews,100.00%
Lake Waramaug Country Club,"22 Golf Links Rd, New Preston Marble Dale, Connecticut 06777, Litchfield County",Private,1916,,,0%
Indian Hill Country Club,"111 Golf St, Newington, Connecticut 06111, Hartford County",Private,1899,1,1 reviews,0%
Newtown Country Club,"Country Club Rd, Newtown, Connecticut 06470, Fairfield County",Private,1915,,,0%
Rock Ridge Country Club,"214 Sugar St, Newtown, Connecticut 06470, Fairfield County",Private,1954,,,0%
Norfolk Country Club,"50 Golf Dr, Norfolk, Connecticut 06058, Litchfield County",Private,1912,,,0%
Twin Lakes Golf Course,"241 Twin Lakes Rd, North Branford, Connecticut 06471, New Haven County",Semi-Private,0,,,0%
Quarry View Golf Course,"30 Allyndale Rd, East Canaan, Connecticut 06024, Litchfield County",Public,2002,4,1 out of 1 reviews,100.00%
North Course at Lake of Isles,"1 Clubhouse Dr., North Stonington, CT 06359",Public,2005,4.1,12 out of 15 reviews,97.10%
South Course at Lake of Isles,"1 Clubhouse Dr., North Stonington, CT 06359",Private,2005,4,1 out of 1 reviews,100.00%
Windham Club,"184 Club Rd, North Windham, Connecticut 06256, Windham County",Public,1922,3.9,77 out of 95 reviews,90.40%
Oak Hills Park Golf Course,"165 Fillow St, Norwalk, Connecticut 06850, Fairfield County",Public,1967,3.9,104 out of 119 reviews,88.20%
Sier Crest at Silvermine Golf Club,"95 N Seir Hill Rd, Norwalk, Connecticut 06850, Fairfield County",Private,1959,,,0%
Sier Hill at Silvermine Golf Club,"95 N Seir Hill Rd, Norwalk, Connecticut 06850, Fairfield County",Private,1959,,,0%
